type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[86.313908, 22.712394]",,ASB,ASANBONI,,,
Feature,Point,"[86.354133, 22.674292]",,RHE,RAKHA MINES,,,
Feature,Point,"[86.410494, 22.648871999999997]",,GUD,GALUDIH,,,
Feature,Point,"[86.479768, 22.58616]",,GTS,GHATSILA,,,
Feature,Point,"[86.551921, 22.506293]",,DVM,DALBHUMGARH,,,
Feature,Point,"[86.642797, 22.474065]",,KKPR,KOKPARA,,,
Feature,Point,"[86.721161, 22.478149]",,CKU,CHAKULIA,,,
Feature,Point,"[86.77839399999999, 22.482202]",,KNM,KANIMAHULI,,,
Feature,Point,"[86.853201, 22.488471999999998]",,GII,GIDNI,,,
Feature,Point,"[86.93022400000001, 22.477455]",,KATB,KHATKURA,,,
Feature,Point,"[86.06450201000001, 22.8235001]",,BIRP,BIRARAJPUR,,,
Feature,Point,"[86.047863, 22.852966]",,KND,KANDRA,,,
Feature,Point,"[86.110242, 23.420983]",,BBDA,BARBENDA (RNC DIVISION),,,
Feature,Point,"[86.067757, 22.875933]",,KZU,KUNKI,,,
Feature,Point,"[86.142459, 23.416141999999997]",,GUG,GARH JAIPUR,,,
Feature,Point,"[86.066359, 22.919528]",,MIK,MANIKUL,,,
Feature,Point,"[86.225425, 23.415513]",,CAS,CHAS ROAD,,,
Feature,Point,"[86.07210900000001, 22.956014]",,CNI,CHANDIL JN,,,
Feature,Point,"[86.275105, 23.396293999999997]",,GTD,GOURINATHDHAM,,,
Feature,Point,"[86.142118, 22.993643]",,NIM,NIMDIH,,,
Feature,Point,"[86.19920954, 23.04578437]",,BRMD,BIRAMDIH,,,
Feature,Point,"[86.2112372, 23.0912864]",,BBM,BARABHUM,,,
Feature,Point,"[86.253775, 23.157777]",,URMA,URMA,,,
Feature,Point,"[86.29629, 23.21838]",,KTD,KANTADIH,,,
Feature,Point,"[86.352313, 23.268988]",,TAO,TAMNA,,,
Feature,Point,"[86.37787, 23.324911]",,PRR,PURULIA JN,,,
Feature,Point,"[86.9985316705, 22.4549644863]",,JGM,JHARGRAM,,,
Feature,Point,"[87.062669671, 22.420974052600002]",,BNB,BANSTOLA,,,
Feature,Point,"[87.12364500000001, 22.380612]",,SUA,SARDIHA,,,
Feature,Point,"[87.18486299999999, 22.337768]",,KSO,KHEMASULI,,,
Feature,Point,"[87.24399951, 22.32945442]",,KKQ,KALAIKUNDA,,,
Feature,Point,"[87.26468600000001, 22.332403]",,NMP,NIMPURA,,,
Feature,Point,"[85.993925, 20.558554]",,KIS,KAPILAS ROAD,,,
Feature,Point,"[86.0192559912, 20.5965342443]",,SJDR,SRI JHADESHWAR,,,
Feature,Point,"[86.034947, 20.628257]",,BYY,BYREE,,,
Feature,Point,"[86.05967143000001, 20.65696901]",,BRTG,BARITHENGARH,,,
Feature,Point,"[86.11228, 20.687806]",,DNM,DHANMANDAL,,,
Feature,Point,"[86.116431, 20.725882000000002]",,HDS,HARIDASPUR,,,
Feature,Point,"[86.07210599999999, 20.798857]",,NGMP,NEW GARH MADHOPUR,,,
Feature,Point,"[86.06508, 20.850842]",,JEN,JENAPUR,,,
Feature,Point,"[86.0562098645, 20.862952007599997]",,BRMI,BRAHMANI PH,,,
Feature,Point,"[86.06533999999999, 20.917821]",,JKPR,JAKHAPURA,,,
Feature,Point,"[86.132518, 20.943544]",,JJKR,JAJPUR KEONJHAR ROAD,,,
Feature,Point,"[86.17599399999999, 20.959417000000002]",,KRIH,KORAI HALT,,,
Feature,Point,"[86.23539299999999, 20.986995999999998]",,BTV,BAITARANI ROAD,,,
Feature,Point,"[86.28087400000001, 21.007019]",,DLPT,DULAKHAPATNA,,,
Feature,Point,"[86.319698, 21.012135999999998]",,MZZ,MANJURI ROAD,,,
Feature,Point,"[86.38353099999999, 21.030623000000002]",,KED,KENDUAPADA,,,
Feature,Point,"[86.407911, 21.040967000000002]",,KPLD,KAPALI ROAD,,,
Feature,Point,"[86.4629040051, 21.063446010800003]",,BUDR,BAUDPUR,,,
Feature,Point,"[86.5162305, 21.091745799999998]",,BHC,BHADRAKH,,,
Feature,,,,RLJC,RLJC,,,
Feature,Point,"[86.55647400000001, 21.149665]",,RNTL,RANITAL,,,
Feature,Point,"[86.596117, 21.195555]",,MKO,MARKONA,,,
Feature,Point,"[86.62923699999999, 21.236882]",,SZZ,SABIRA,,,
Feature,Point,"[86.69253900000001, 21.291083999999998]",,SORO,SORO,,,
Feature,Point,"[86.76172839, 21.33613403]",,BNBR,BAHANAGA BAZAR,,,
Feature,Point,"[86.790524, 21.358714999999997]",,PNPN,PANPANA,,,
Feature,Point,"[86.822911, 21.39628]",,KHF,KHANTAPARA,,,
Feature,Point,"[86.855469, 21.426415000000002]",,NGRD,NILGIRI ROAD,,,
Feature,Point,"[86.91958199999999, 21.500521]",,BLS,BALASORE,,,
Feature,Point,"[86.944638, 21.535575]",,TKPL,TIKIRAPAL HALT,,,
Feature,Point,"[86.996648, 21.571438999999998]",,HIP,HALDIPADA,,,
Feature,Point,"[87.018507, 21.621995]",,ROP,RUPSA JN,,,
Feature,Point,"[74.02051399999999, 18.491630999999998]",,LONI,LONI,,,
Feature,Point,"[74.13682, 18.494237]",,URI,URULI,,,
Feature,Point,"[73.873086, 18.529378]",,PUNE,PUNE JN,,,
Feature,Point,"[73.8917897095, 18.531687546900002]",,GPRW,GHORPURI WEST,,,
Feature,Point,"[73.927844, 18.526887000000002]",,HDP,HADAPSAR,,,
Feature,Point,"[73.971424, 18.512039]",,MJBK,MANJARI BUDRUK,,,
Feature,Point,"[74.2563176276, 18.4889359723]",,YT,YEVAT,,,
Feature,Point,"[74.3154633105, 18.4861041325]",,KTT,KHUTBAV,,,
Feature,Point,"[74.3763730994, 18.482085398400002]",,KDG,KEDGAON,,,
Feature,Point,"[74.42173336430001, 18.4778037603]",,KDTN,KADETHAN,,,
Feature,Point,"[74.4696527191, 18.4732663908]",,PAA,PATAS,,,
Feature,Point,"[74.520934, 18.468688]",,DDAP,DAUND PATAS ROAD,,,
Feature,Point,"[74.578622, 18.463547]",,DD,DAUND JN,,,
Feature,Point,"[74.5689755029, 18.464752713200003]",,DDAM,DAUND A MMR,,,
Feature,Point,"[74.5607624341, 18.4659368312]",,DDJA,DAUND GOODS YARD,,,
Feature,Point,"[74.5994004132, 18.5252942346]",,KSTH,KASHTI,,,
Feature,Point,"[74.641466, 18.598243]",,SGND,SHRIGONDA ROAD,,,
Feature,Point,"[74.621981, 18.710718]",,BWD,BELVANDI,,,
Feature,Point,"[74.598861, 18.82295]",,VPR,VISAPUR,,,
Feature,Point,"[74.60070300000001, 18.870972]",,RNJD,RANJANGAON RD,,,
Feature,Point,"[74.64829499999999, 18.947656000000002]",,SRL,SAROLA,,,
Feature,Point,"[74.66906999999999, 18.985409]",,AKR,AKOLNER,,,
Feature,Point,"[74.721882467, 19.075519477700002]",,ANG,AHMADNAGAR,,,
Feature,Point,"[74.68854097469999, 19.1183528756]",,NNB,NIMBLAK,,,
Feature,Point,"[74.675069, 19.198579]",,VL,VILAD,,,
Feature,Point,"[74.684974, 19.298579999999998]",,VBR,VAMBORI,,,
Feature,Point,"[74.677702, 19.411550000000002]",,RRI,RAHURI,,,
Feature,Point,"[74.679765, 19.453844]",,TKMY,TAKLIMIYA,,,
Feature,Point,"[74.69233, 19.536709000000002]",,PDGN,PADHEGAON,,,
Feature,Point,"[74.70471599999999, 19.587951]",,NPW,NIPANI VADGAON,,,
Feature,Point,"[74.6617443079, 19.619569311800003]",,BAP,BELAPUR,,,
Feature,Point,"[74.6239138208, 19.6913918118]",,CIT,CHITALI,,,
Feature,Point,"[74.621959715, 19.762025526800002]",,PB,PUNTAMBA,,,
Feature,Point,"[74.57128710079999, 19.8172996303]",,KNGN,KANHEGAON,,,
Feature,Point,"[74.56058409549999, 19.8832775017]",,SNVR,SANVATSAR,,,
Feature,Point,"[74.503328, 19.902943]",,KPG,KOPARGAON,,,
Feature,Point,"[74.503246, 20.043188999999998]",,YL,YEOLA,,,
Feature,Point,"[74.4697560736, 20.1510279143]",,ANK,ANKAI,,,
Feature,Point,"[74.4368553961, 20.183180430100002]",,AAK,ANKAI KILA,,,
Feature,Point,"[75.507613, 20.932994]",,SS,SHIRSOLI,,,
Feature,Point,"[75.4584622504, 20.870401921]",,MWD,MHASAVAD,,,
Feature,Point,"[75.424619975, 20.7689244313]",,MYJ,MAHEJI,,,
Feature,Point,"[84.58081, 23.659779]",,RCGT,RICHUGHUTU,,,
Feature,Point,"[84.52562, 23.69708]",,DEMU,DEMU,,,
Feature,Point,"[84.46812, 23.725092]",,LTHR,LATEHAR,,,
Feature,Point,"[84.416974, 23.763612000000002]",,BFQ,BENDI,,,
Feature,Point,"[84.352452, 23.766868000000002]",,KMND,KUMENDI,,,
Feature,Point,"[84.258524, 23.790124]",,HHG,HEHEGARA HALT (E),,,
Feature,Point,"[84.2023836389, 23.8133333478]",,CPDR,CHHIPADOHAR,,,
Feature,Point,"[84.11877999999999, 23.843836]",,BRWD,BARWADIH JN,,,
Feature,Point,"[84.111898, 23.881768]",,MAZ,MANGRA,,,
Feature,Point,"[84.146829, 23.928362999999997]",,KCKI,KECKHI,,,
Feature,Point,"[84.11566, 23.973902]",,CNF,CHIANKI,,,
Feature,Point,"[84.07484299999999, 24.033075]",,DTO,DALTONGANJ,,,
Feature,Point,"[84.0725284845, 24.1067922143]",,KFT,KAJRI,,,
Feature,Point,"[84.01554999999999, 24.154400000000003]",,RHR,RAJHURA,,,
Feature,Point,"[83.979632, 24.161147]",,LBT,LALGARH BIHAR HALT,,,
Feature,Point,"[83.923324, 24.18584]",,TRZ,TOLRA,,,
Feature,Point,"[83.885116, 24.214419]",,GHD,GARWA ROAD,,,
Feature,Point,"[84.204658, 24.811468]",,BCJ,BAGAHABISHUNPUR,,,
Feature,Point,"[84.178495, 24.773978]",,BSYA,BARKISALALYA,,,
Feature,Point,"[84.169539, 24.761166999999997]",,ANH,ANKORAH AKORHA,,,
Feature,Point,"[84.094044, 24.653944]",,NBG,NABENAGAR ROAD,,,
Feature,Point,"[84.05014, 24.591041]",,KYF,KAJRAT NAWADIH,,,
Feature,Point,"[84.00286600000001, 24.538968999999998]",,JPL,JAPLA,,,
Feature,Point,"[83.951049, 24.498081]",,HDN,HAIDARNAGAR,,,
Feature,Point,"[83.908564, 24.478657000000002]",,KVQ,KOSIARA,,,
